"Sex";"Age";"Modes of travel";"Travel motives";"Margins";"Periods";"Stages per person per day (average) (number)";"Distance travelled per stage (average) (passenger kilometres)";"Average travel time per stage (Minutes)"
"Total male and female";"60 to 64 years";"Bus/metro";"Other";"Value";"2018*";"       .";"       .";"       ."
"Total male and female";"60 to 64 years";"Bus/metro";"Other";"Value";"2019*";"       .";"       .";"       ."
"Total male and female";"60 to 64 years";"Bus/metro";"Other";"Value";"2020*";"       .";"       .";"       ."
"Total male and female";"60 to 64 years";"Bus/metro";"Other";"Value";"2021*";"       .";"       .";"       ."
"Total male and female";"60 to 64 years";"Bus/metro";"Other";"Value";"2022*";"       .";"       .";"       ."
"Total male and female";"60 to 64 years";"Bus/metro";"Other";"Value";"2023*";"       .";"       .";"       ."
"Total male and female";"60 to 64 years";"Bike";"Travel to/from work, (non)-daily commute";"Value";"2014*";"    0.15";"    4.10";"   18.44"
"Total male and female";"60 to 64 years";"Bike";"Travel to/from work, (non)-daily commute";"Value";"2015*";"    0.15";"    4.15";"   18.47"
"Total male and female";"60 to 64 years";"Bike";"Travel to/from work, (non)-daily commute";"Value";"2016*";"    0.16";"    4.20";"   18.55"
"Total male and female";"60 to 64 years";"Bike";"Travel to/from work, (non)-daily commute";"Value";"2017*";"    0.17";"    4.28";"   18.79"
"Total male and female";"60 to 64 years";"Bike";"Travel to/from work, (non)-daily commute";"Value";"2018*";"    0.18";"    4.33";"   18.76"
"Total male and female";"60 to 64 years";"Bike";"Travel to/from work, (non)-daily commute";"Value";"2019*";"    0.18";"    4.40";"   18.80"
"Total male and female";"60 to 64 years";"Bike";"Travel to/from work, (non)-daily commute";"Value";"2020*";"    0.13";"    4.43";"   19.09"
"Total male and female";"60 to 64 years";"Bike";"Travel to/from work, (non)-daily commute";"Value";"2021*";"    0.13";"    4.49";"   19.39"
"Total male and female";"60 to 64 years";"Bike";"Travel to/from work, (non)-daily commute";"Value";"2022*";"    0.15";"    4.61";"   19.55"
"Total male and female";"60 to 64 years";"Bike";"Travel to/from work, (non)-daily commute";"Value";"2023*";"    0.16";"    4.68";"   19.57"
"Total male and female";"60 to 64 years";"Bike";"Shopping, groceries, funshopping.";"Value";"2014*";"    0.26";"    2.16";"   12.46"
"Total male and female";"60 to 64 years";"Bike";"Shopping, groceries, funshopping.";"Value";"2015*";"    0.25";"    2.16";"   12.37"
"Total male and female";"60 to 64 years";"Bike";"Shopping, groceries, funshopping.";"Value";"2016*";"    0.24";"    2.14";"   12.22"
"Total male and female";"60 to 64 years";"Bike";"Shopping, groceries, funshopping.";"Value";"2017*";"    0.24";"    2.16";"   12.19"
"Total male and female";"60 to 64 years";"Bike";"Shopping, groceries, funshopping.";"Value";"2018*";"    0.24";"    2.16";"   12.22"
"Total male and female";"60 to 64 years";"Bike";"Shopping, groceries, funshopping.";"Value";"2019*";"    0.23";"    2.17";"   12.17"
"Total male and female";"60 to 64 years";"Bike";"Shopping, groceries, funshopping.";"Value";"2020*";"    0.21";"    2.08";"   11.60"
"Total male and female";"60 to 64 years";"Bike";"Shopping, groceries, funshopping.";"Value";"2021*";"    0.21";"    2.10";"   11.94"
"Total male and female";"60 to 64 years";"Bike";"Shopping, groceries, funshopping.";"Value";"2022*";"    0.24";"    2.15";"   11.94"
"Total male and female";"60 to 64 years";"Bike";"Shopping, groceries, funshopping.";"Value";"2023*";"    0.23";"    2.18";"   12.09"
"Total male and female";"60 to 64 years";"Bike";"Attending education/courses";"Value";"2014*";"       .";"       .";"       ."
"Total male and female";"60 to 64 years";"Bike";"Attending education/courses";"Value";"2015*";"       .";"       .";"       ."
"Total male and female";"60 to 64 years";"Bike";"Attending education/courses";"Value";"2016*";"       .";"       .";"       ."
"Total male and female";"60 to 64 years";"Bike";"Attending education/courses";"Value";"2017*";"       .";"       .";"       ."
"Total male and female";"60 to 64 years";"Bike";"Attending education/courses";"Value";"2018*";"       .";"       .";"       ."
"Total male and female";"60 to 64 years";"Bike";"Attending education/courses";"Value";"2019*";"       .";"       .";"       ."
"Total male and female";"60 to 64 years";"Bike";"Attending education/courses";"Value";"2020*";"       .";"       .";"       ."
"Total male and female";"60 to 64 years";"Bike";"Attending education/courses";"Value";"2021*";"       .";"       .";"       ."
"Total male and female";"60 to 64 years";"Bike";"Attending education/courses";"Value";"2022*";"       .";"       .";"       ."
"Total male and female";"60 to 64 years";"Bike";"Attending education/courses";"Value";"2023*";"       .";"       .";"       ."
"Total male and female";"60 to 64 years";"Bike";"Leisure";"Value";"2014*";"    0.26";"    7.55";"   41.98"
"Total male and female";"60 to 64 years";"Bike";"Leisure";"Value";"2015*";"    0.25";"    7.53";"   41.68"
"Total male and female";"60 to 64 years";"Bike";"Leisure";"Value";"2016*";"    0.24";"    7.50";"   41.58"
"Total male and female";"60 to 64 years";"Bike";"Leisure";"Value";"2017*";"    0.24";"    7.49";"   41.10"
"Total male and female";"60 to 64 years";"Bike";"Leisure";"Value";"2018*";"    0.25";"    7.57";"   41.52"
"Total male and female";"60 to 64 years";"Bike";"Leisure";"Value";"2019*";"    0.24";"    7.54";"   41.72"
"Total male and female";"60 to 64 years";"Bike";"Leisure";"Value";"2020*";"    0.19";"    9.28";"   50.80"
"Total male and female";"60 to 64 years";"Bike";"Leisure";"Value";"2021*";"    0.20";"    9.07";"   50.10"
"Total male and female";"60 to 64 years";"Bike";"Leisure";"Value";"2022*";"    0.23";"    7.96";"   43.65"
"Total male and female";"60 to 64 years";"Bike";"Leisure";"Value";"2023*";"    0.23";"    7.46";"   40.90"
"Total male and female";"60 to 64 years";"Bike";"Other";"Value";"2014*";"    0.08";"    2.75";"   14.56"
"Total male and female";"60 to 64 years";"Bike";"Other";"Value";"2015*";"    0.07";"    2.75";"   14.48"
"Total male and female";"60 to 64 years";"Bike";"Other";"Value";"2016*";"    0.07";"    2.74";"   14.33"
"Total male and female";"60 to 64 years";"Bike";"Other";"Value";"2017*";"    0.07";"    2.74";"   14.29"
"Total male and female";"60 to 64 years";"Bike";"Other";"Value";"2018*";"    0.08";"    2.75";"   14.09"
"Total male and female";"60 to 64 years";"Bike";"Other";"Value";"2019*";"    0.07";"    2.78";"   14.29"
"Total male and female";"60 to 64 years";"Bike";"Other";"Value";"2020*";"    0.07";"    2.82";"   14.01"
"Total male and female";"60 to 64 years";"Bike";"Other";"Value";"2021*";"    0.07";"    2.85";"   14.47"
"Total male and female";"60 to 64 years";"Bike";"Other";"Value";"2022*";"    0.08";"    2.80";"   14.28"
"Total male and female";"60 to 64 years";"Bike";"Other";"Value";"2023*";"    0.08";"    2.80";"   14.17"
"Total male and female";"60 to 64 years";"Walking";"Travel to/from work, (non)-daily commute";"Value";"2014*";"    0.05";"    0.86";"   10.03"
"Total male and female";"60 to 64 years";"Walking";"Travel to/from work, (non)-daily commute";"Value";"2015*";"    0.05";"    0.83";"    9.58"
"Total male and female";"60 to 64 years";"Walking";"Travel to/from work, (non)-daily commute";"Value";"2016*";"    0.06";"    0.83";"    9.91"
"Total male and female";"60 to 64 years";"Walking";"Travel to/from work, (non)-daily commute";"Value";"2017*";"    0.06";"    0.87";"   10.49"
"Total male and female";"60 to 64 years";"Walking";"Travel to/from work, (non)-daily commute";"Value";"2018*";"    0.07";"    0.83";"    9.66"
"Total male and female";"60 to 64 years";"Walking";"Travel to/from work, (non)-daily commute";"Value";"2019*";"    0.06";"    0.84";"    9.80"
"Total male and female";"60 to 64 years";"Walking";"Travel to/from work, (non)-daily commute";"Value";"2020*";"    0.04";"    0.80";"    9.38"
"Total male and female";"60 to 64 years";"Walking";"Travel to/from work, (non)-daily commute";"Value";"2021*";"    0.04";"    0.86";"   10.13"
"Total male and female";"60 to 64 years";"Walking";"Travel to/from work, (non)-daily commute";"Value";"2022*";"    0.05";"    0.86";"   10.29"
"Total male and female";"60 to 64 years";"Walking";"Travel to/from work, (non)-daily commute";"Value";"2023*";"    0.06";"    0.86";"   10.69"
"Total male and female";"60 to 64 years";"Walking";"Shopping, groceries, funshopping.";"Value";"2014*";"    0.14";"    0.89";"   12.92"
"Total male and female";"60 to 64 years";"Walking";"Shopping, groceries, funshopping.";"Value";"2015*";"    0.13";"    0.92";"   13.39"
"Total male and female";"60 to 64 years";"Walking";"Shopping, groceries, funshopping.";"Value";"2016*";"    0.14";"    0.87";"   12.42"
"Total male and female";"60 to 64 years";"Walking";"Shopping, groceries, funshopping.";"Value";"2017*";"    0.13";"    0.89";"   12.89"
"Total male and female";"60 to 64 years";"Walking";"Shopping, groceries, funshopping.";"Value";"2018*";"    0.13";"    0.87";"   12.39"
"Total male and female";"60 to 64 years";"Walking";"Shopping, groceries, funshopping.";"Value";"2019*";"    0.12";"    0.87";"   12.43"
"Total male and female";"60 to 64 years";"Walking";"Shopping, groceries, funshopping.";"Value";"2020*";"    0.14";"    0.82";"   11.34"
"Total male and female";"60 to 64 years";"Walking";"Shopping, groceries, funshopping.";"Value";"2021*";"    0.16";"    0.86";"   12.05"
"Total male and female";"60 to 64 years";"Walking";"Shopping, groceries, funshopping.";"Value";"2022*";"    0.15";"    0.86";"   12.04"
"Total male and female";"60 to 64 years";"Walking";"Shopping, groceries, funshopping.";"Value";"2023*";"    0.14";"    0.86";"   12.44"
"Total male and female";"60 to 64 years";"Walking";"Attending education/courses";"Value";"2014*";"       .";"       .";"       ."
"Total male and female";"60 to 64 years";"Walking";"Attending education/courses";"Value";"2015*";"       .";"       .";"       ."
"Total male and female";"60 to 64 years";"Walking";"Attending education/courses";"Value";"2016*";"       .";"       .";"       ."
"Total male and female";"60 to 64 years";"Walking";"Attending education/courses";"Value";"2017*";"       .";"       .";"       ."
"Total male and female";"60 to 64 years";"Walking";"Attending education/courses";"Value";"2018*";"       .";"       .";"       ."
"Total male and female";"60 to 64 years";"Walking";"Attending education/courses";"Value";"2019*";"       .";"       .";"       ."
"Total male and female";"60 to 64 years";"Walking";"Attending education/courses";"Value";"2020*";"       .";"       .";"       ."
"Total male and female";"60 to 64 years";"Walking";"Attending education/courses";"Value";"2021*";"       .";"       .";"       ."
"Total male and female";"60 to 64 years";"Walking";"Attending education/courses";"Value";"2022*";"       .";"       .";"       ."
"Total male and female";"60 to 64 years";"Walking";"Attending education/courses";"Value";"2023*";"       .";"       .";"       ."
"Total male and female";"60 to 64 years";"Walking";"Leisure";"Value";"2014*";"    0.31";"    2.62";"   38.49"
"Total male and female";"60 to 64 years";"Walking";"Leisure";"Value";"2015*";"    0.30";"    2.65";"   39.40"
"Total male and female";"60 to 64 years";"Walking";"Leisure";"Value";"2016*";"    0.30";"    2.60";"   39.09"
"Total male and female";"60 to 64 years";"Walking";"Leisure";"Value";"2017*";"    0.28";"    2.66";"   39.27"
"Total male and female";"60 to 64 years";"Walking";"Leisure";"Value";"2018*";"    0.30";"    2.71";"   39.04"
"Total male and female";"60 to 64 years";"Walking";"Leisure";"Value";"2019*";"    0.30";"    2.68";"   38.22"
"Total male and female";"60 to 64 years";"Walking";"Leisure";"Value";"2020*";"    0.38";"    3.04";"   42.54"
"Total male and female";"60 to 64 years";"Walking";"Leisure";"Value";"2021*";"    0.44";"    3.23";"   45.66"
"Total male and female";"60 to 64 years";"Walking";"Leisure";"Value";"2022*";"    0.43";"    2.84";"   40.94"
"Total male and female";"60 to 64 years";"Walking";"Leisure";"Value";"2023*";"    0.41";"    2.75";"   39.88"
"Total male and female";"60 to 64 years";"Walking";"Other";"Value";"2014*";"    0.05";"    0.93";"   11.74"
"Total male and female";"60 to 64 years";"Walking";"Other";"Value";"2015*";"    0.05";"    0.92";"   11.52"
"Total male and female";"60 to 64 years";"Walking";"Other";"Value";"2016*";"    0.04";"    0.92";"   11.61"
"Total male and female";"60 to 64 years";"Walking";"Other";"Value";"2017*";"    0.04";"    0.91";"   11.64"
"Total male and female";"60 to 64 years";"Walking";"Other";"Value";"2018*";"    0.05";"    0.91";"   11.39"
"Total male and female";"60 to 64 years";"Walking";"Other";"Value";"2019*";"    0.04";"    0.91";"   11.46"
"Total male and female";"60 to 64 years";"Walking";"Other";"Value";"2020*";"    0.05";"    0.89";"   11.15"
"Total male and female";"60 to 64 years";"Walking";"Other";"Value";"2021*";"    0.06";"    0.96";"   12.06"
"Total male and female";"60 to 64 years";"Walking";"Other";"Value";"2022*";"    0.06";"    0.92";"   12.01"
"Total male and female";"60 to 64 years";"Walking";"Other";"Value";"2023*";"    0.05";"    0.92";"   12.09"
"Total male and female";"60 to 64 years";"Other";"Travel to/from work, (non)-daily commute";"Value";"2014*";"       .";"       .";"       ."
"Total male and female";"60 to 64 years";"Other";"Travel to/from work, (non)-daily commute";"Value";"2015*";"       .";"       .";"       ."
"Total male and female";"60 to 64 years";"Other";"Travel to/from work, (non)-daily commute";"Value";"2016*";"       .";"       .";"       ."
"Total male and female";"60 to 64 years";"Other";"Travel to/from work, (non)-daily commute";"Value";"2017*";"       .";"       .";"       ."
"Total male and female";"60 to 64 years";"Other";"Travel to/from work, (non)-daily commute";"Value";"2018*";"    0.04";"   23.46";"   30.96"
"Total male and female";"60 to 64 years";"Other";"Travel to/from work, (non)-daily commute";"Value";"2019*";"    0.04";"   22.11";"   29.85"
"Total male and female";"60 to 64 years";"Other";"Travel to/from work, (non)-daily commute";"Value";"2020*";"    0.04";"   17.61";"   25.48"
"Total male and female";"60 to 64 years";"Other";"Travel to/from work, (non)-daily commute";"Value";"2021*";"    0.04";"   19.99";"   27.77"
"Total male and female";"60 to 64 years";"Other";"Travel to/from work, (non)-daily commute";"Value";"2022*";"    0.04";"   22.41";"   28.80"
"Total male and female";"60 to 64 years";"Other";"Travel to/from work, (non)-daily commute";"Value";"2023*";"    0.04";"   19.93";"   28.05"
"Total male and female";"60 to 64 years";"Other";"Shopping, groceries, funshopping.";"Value";"2014*";"       .";"       .";"       ."
"Total male and female";"60 to 64 years";"Other";"Shopping, groceries, funshopping.";"Value";"2015*";"       .";"       .";"       ."
"Total male and female";"60 to 64 years";"Other";"Shopping, groceries, funshopping.";"Value";"2016*";"       .";"       .";"       ."
"Total male and female";"60 to 64 years";"Other";"Shopping, groceries, funshopping.";"Value";"2017*";"       .";"       .";"       ."
"Total male and female";"60 to 64 years";"Other";"Shopping, groceries, funshopping.";"Value";"2018*";"       .";"       .";"       ."
"Total male and female";"60 to 64 years";"Other";"Shopping, groceries, funshopping.";"Value";"2019*";"       .";"       .";"       ."
"Total male and female";"60 to 64 years";"Other";"Shopping, groceries, funshopping.";"Value";"2020*";"       .";"       .";"       ."
"Total male and female";"60 to 64 years";"Other";"Shopping, groceries, funshopping.";"Value";"2021*";"       .";"       .";"       ."
"Total male and female";"60 to 64 years";"Other";"Shopping, groceries, funshopping.";"Value";"2022*";"       .";"       .";"       ."
"Total male and female";"60 to 64 years";"Other";"Shopping, groceries, funshopping.";"Value";"2023*";"       .";"       .";"       ."
"Total male and female";"60 to 64 years";"Other";"Attending education/courses";"Value";"2014*";"       .";"       .";"       ."
"Total male and female";"60 to 64 years";"Other";"Attending education/courses";"Value";"2015*";"       .";"       .";"       ."
"Total male and female";"60 to 64 years";"Other";"Attending education/courses";"Value";"2016*";"       .";"       .";"       ."
"Total male and female";"60 to 64 years";"Other";"Attending education/courses";"Value";"2017*";"       .";"       .";"       ."
"Total male and female";"60 to 64 years";"Other";"Attending education/courses";"Value";"2018*";"       .";"       .";"       ."
"Total male and female";"60 to 64 years";"Other";"Attending education/courses";"Value";"2019*";"       .";"       .";"       ."
"Total male and female";"60 to 64 years";"Other";"Attending education/courses";"Value";"2020*";"       .";"       .";"       ."
"Total male and female";"60 to 64 years";"Other";"Attending education/courses";"Value";"2021*";"       .";"       .";"       ."
"Total male and female";"60 to 64 years";"Other";"Attending education/courses";"Value";"2022*";"       .";"       .";"       ."
"Total male and female";"60 to 64 years";"Other";"Attending education/courses";"Value";"2023*";"       .";"       .";"       ."
"Total male and female";"60 to 64 years";"Other";"Leisure";"Value";"2014*";"       .";"       .";"       ."
"Total male and female";"60 to 64 years";"Other";"Leisure";"Value";"2015*";"       .";"       .";"       ."
"Total male and female";"60 to 64 years";"Other";"Leisure";"Value";"2016*";"       .";"       .";"       ."
"Total male and female";"60 to 64 years";"Other";"Leisure";"Value";"2017*";"       .";"       .";"       ."
"Total male and female";"60 to 64 years";"Other";"Leisure";"Value";"2018*";"       .";"       .";"       ."
"Total male and female";"60 to 64 years";"Other";"Leisure";"Value";"2019*";"       .";"       .";"       ."
"Total male and female";"60 to 64 years";"Other";"Leisure";"Value";"2020*";"       .";"       .";"       ."
"Total male and female";"60 to 64 years";"Other";"Leisure";"Value";"2021*";"    0.02";"   22.84";"   61.31"
"Total male and female";"60 to 64 years";"Other";"Leisure";"Value";"2022*";"       .";"       .";"       ."
"Total male and female";"60 to 64 years";"Other";"Leisure";"Value";"2023*";"    0.02";"   23.11";"   51.97"
"Total male and female";"60 to 64 years";"Other";"Other";"Value";"2014*";"       .";"       .";"       ."
"Total male and female";"60 to 64 years";"Other";"Other";"Value";"2015*";"       .";"       .";"       ."
"Total male and female";"60 to 64 years";"Other";"Other";"Value";"2016*";"       .";"       .";"       ."
"Total male and female";"60 to 64 years";"Other";"Other";"Value";"2017*";"       .";"       .";"       ."
"Total male and female";"60 to 64 years";"Other";"Other";"Value";"2018*";"       .";"       .";"       ."
"Total male and female";"60 to 64 years";"Other";"Other";"Value";"2019*";"       .";"       .";"       ."
"Total male and female";"60 to 64 years";"Other";"Other";"Value";"2020*";"       .";"       .";"       ."
"Total male and female";"60 to 64 years";"Other";"Other";"Value";"2021*";"       .";"       .";"       ."
"Total male and female";"60 to 64 years";"Other";"Other";"Value";"2022*";"       .";"       .";"       ."
"Total male and female";"60 to 64 years";"Other";"Other";"Value";"2023*";"       .";"       .";"       ."
"Total male and female";"65 to 69 years";"Total";"Travel to/from work, (non)-daily commute";"Value";"2014*";"    0.21";"   13.10";"   22.85"
"Total male and female";"65 to 69 years";"Total";"Travel to/from work, (non)-daily commute";"Value";"2015*";"    0.21";"   13.21";"   22.74"
"Total male and female";"65 to 69 years";"Total";"Travel to/from work, (non)-daily commute";"Value";"2016*";"    0.22";"   13.16";"   22.83"
"Total male and female";"65 to 69 years";"Total";"Travel to/from work, (non)-daily commute";"Value";"2017*";"    0.23";"   13.39";"   23.05"
"Total male and female";"65 to 69 years";"Total";"Travel to/from work, (non)-daily commute";"Value";"2018*";"    0.26";"   13.33";"   22.75"
"Total male and female";"65 to 69 years";"Total";"Travel to/from work, (non)-daily commute";"Value";"2019*";"    0.24";"   13.35";"   22.77"
"Total male and female";"65 to 69 years";"Total";"Travel to/from work, (non)-daily commute";"Value";"2020*";"    0.20";"   12.27";"   21.36"
"Total male and female";"65 to 69 years";"Total";"Travel to/from work, (non)-daily commute";"Value";"2021*";"    0.20";"   12.85";"   22.21"
"Total male and female";"65 to 69 years";"Total";"Travel to/from work, (non)-daily commute";"Value";"2022*";"    0.24";"   13.16";"   22.86"
"Total male and female";"65 to 69 years";"Total";"Travel to/from work, (non)-daily commute";"Value";"2023*";"    0.26";"   13.40";"   23.39"
"Total male and female";"65 to 69 years";"Total";"Shopping, groceries, funshopping.";"Value";"2014*";"    0.84";"    5.09";"   15.46"
"Total male and female";"65 to 69 years";"Total";"Shopping, groceries, funshopping.";"Value";"2015*";"    0.82";"    5.10";"   15.53"
"Total male and female";"65 to 69 years";"Total";"Shopping, groceries, funshopping.";"Value";"2016*";"    0.80";"    4.98";"   15.19"
"Total male and female";"65 to 69 years";"Total";"Shopping, groceries, funshopping.";"Value";"2017*";"    0.80";"    5.12";"   15.28"
"Total male and female";"65 to 69 years";"Total";"Shopping, groceries, funshopping.";"Value";"2018*";"    0.80";"    5.09";"   15.21"
"Total male and female";"65 to 69 years";"Total";"Shopping, groceries, funshopping.";"Value";"2019*";"    0.78";"    5.21";"   15.23"
"Total male and female";"65 to 69 years";"Total";"Shopping, groceries, funshopping.";"Value";"2020*";"    0.74";"    4.31";"   13.60"
"Total male and female";"65 to 69 years";"Total";"Shopping, groceries, funshopping.";"Value";"2021*";"    0.75";"    4.42";"   14.21"
"Total male and female";"65 to 69 years";"Total";"Shopping, groceries, funshopping.";"Value";"2022*";"    0.80";"    4.64";"   14.45"
"Total male and female";"65 to 69 years";"Total";"Shopping, groceries, funshopping.";"Value";"2023*";"    0.81";"    4.89";"   14.89"
"Total male and female";"65 to 69 years";"Total";"Attending education/courses";"Value";"2014*";"       .";"       .";"       ."
"Total male and female";"65 to 69 years";"Total";"Attending education/courses";"Value";"2015*";"       .";"       .";"       ."
"Total male and female";"65 to 69 years";"Total";"Attending education/courses";"Value";"2016*";"       .";"       .";"       ."
"Total male and female";"65 to 69 years";"Total";"Attending education/courses";"Value";"2017*";"       .";"       .";"       ."
"Total male and female";"65 to 69 years";"Total";"Attending education/courses";"Value";"2018*";"       .";"       .";"       ."
"Total male and female";"65 to 69 years";"Total";"Attending education/courses";"Value";"2019*";"    0.02";"    9.84";"   20.85"
"Total male and female";"65 to 69 years";"Total";"Attending education/courses";"Value";"2020*";"       .";"       .";"       ."
"Total male and female";"65 to 69 years";"Total";"Attending education/courses";"Value";"2021*";"       .";"       .";"       ."
"Total male and female";"65 to 69 years";"Total";"Attending education/courses";"Value";"2022*";"       .";"       .";"       ."
"Total male and female";"65 to 69 years";"Total";"Attending education/courses";"Value";"2023*";"    0.02";"   10.62";"   22.56"
"Total male and female";"65 to 69 years";"Total";"Leisure";"Value";"2014*";"    1.16";"   15.29";"   40.36"
"Total male and female";"65 to 69 years";"Total";"Leisure";"Value";"2015*";"    1.12";"   15.35";"   40.58"
"Total male and female";"65 to 69 years";"Total";"Leisure";"Value";"2016*";"    1.11";"   15.22";"   40.35"
"Total male and female";"65 to 69 years";"Total";"Leisure";"Value";"2017*";"    1.09";"   15.33";"   40.21"
"Total male and female";"65 to 69 years";"Total";"Leisure";"Value";"2018*";"    1.13";"   15.52";"   40.52"
"Total male and female";"65 to 69 years";"Total";"Leisure";"Value";"2019*";"    1.12";"   15.55";"   40.37"
"Total male and female";"65 to 69 years";"Total";"Leisure";"Value";"2020*";"    0.96";"   12.73";"   44.46"
"Total male and female";"65 to 69 years";"Total";"Leisure";"Value";"2021*";"    1.07";"   13.18";"   46.58"
"Total male and female";"65 to 69 years";"Total";"Leisure";"Value";"2022*";"    1.18";"   13.14";"   42.08"
"Total male and female";"65 to 69 years";"Total";"Leisure";"Value";"2023*";"    1.20";"   13.42";"   40.44"
"Total male and female";"65 to 69 years";"Total";"Other";"Value";"2014*";"    0.43";"   12.06";"   21.43"
"Total male and female";"65 to 69 years";"Total";"Other";"Value";"2015*";"    0.41";"   12.44";"   21.52"
"Total male and female";"65 to 69 years";"Total";"Other";"Value";"2016*";"    0.40";"   12.45";"   21.51"
"Total male and female";"65 to 69 years";"Total";"Other";"Value";"2017*";"    0.39";"   12.49";"   21.48"
"Total male and female";"65 to 69 years";"Total";"Other";"Value";"2018*";"    0.42";"   12.12";"   21.10"
"Total male and female";"65 to 69 years";"Total";"Other";"Value";"2019*";"    0.42";"   12.44";"   21.40"
"Total male and female";"65 to 69 years";"Total";"Other";"Value";"2020*";"    0.38";"   11.10";"   19.48"
"Total male and female";"65 to 69 years";"Total";"Other";"Value";"2021*";"    0.42";"   11.27";"   20.32"
"Total male and female";"65 to 69 years";"Total";"Other";"Value";"2022*";"    0.44";"   11.01";"   20.42"
"Total male and female";"65 to 69 years";"Total";"Other";"Value";"2023*";"    0.45";"   11.53";"   20.77"
"Total male and female";"65 to 69 years";"Car as driver";"Travel to/from work, (non)-daily commute";"Value";"2014*";"    0.09";"   20.20";"   26.99"
"Total male and female";"65 to 69 years";"Car as driver";"Travel to/from work, (non)-daily commute";"Value";"2015*";"    0.09";"   20.42";"   27.01"
"Total male and female";"65 to 69 years";"Car as driver";"Travel to/from work, (non)-daily commute";"Value";"2016*";"    0.09";"   20.49";"   27.14"
"Total male and female";"65 to 69 years";"Car as driver";"Travel to/from work, (non)-daily commute";"Value";"2017*";"    0.10";"   20.71";"   27.30"
"Total male and female";"65 to 69 years";"Car as driver";"Travel to/from work, (non)-daily commute";"Value";"2018*";"    0.11";"   20.97";"   27.28"
"Total male and female";"65 to 69 years";"Car as driver";"Travel to/from work, (non)-daily commute";"Value";"2019*";"    0.10";"   21.14";"   27.34"
"Total male and female";"65 to 69 years";"Car as driver";"Travel to/from work, (non)-daily commute";"Value";"2020*";"    0.08";"   19.28";"   25.08"
"Total male and female";"65 to 69 years";"Car as driver";"Travel to/from work, (non)-daily commute";"Value";"2021*";"    0.09";"   19.95";"   25.89"
"Total male and female";"65 to 69 years";"Car as driver";"Travel to/from work, (non)-daily commute";"Value";"2022*";"    0.10";"   20.89";"   27.25"
"Total male and female";"65 to 69 years";"Car as driver";"Travel to/from work, (non)-daily commute";"Value";"2023*";"    0.11";"   21.18";"   28.00"
"Total male and female";"65 to 69 years";"Car as driver";"Shopping, groceries, funshopping.";"Value";"2014*";"    0.26";"    7.87";"   16.00"
"Total male and female";"65 to 69 years";"Car as driver";"Shopping, groceries, funshopping.";"Value";"2015*";"    0.26";"    7.83";"   16.02"
"Total male and female";"65 to 69 years";"Car as driver";"Shopping, groceries, funshopping.";"Value";"2016*";"    0.25";"    7.78";"   15.92"
"Total male and female";"65 to 69 years";"Car as driver";"Shopping, groceries, funshopping.";"Value";"2017*";"    0.25";"    8.01";"   16.00"
"Total male and female";"65 to 69 years";"Car as driver";"Shopping, groceries, funshopping.";"Value";"2018*";"    0.25";"    7.99";"   16.02"
"Total male and female";"65 to 69 years";"Car as driver";"Shopping, groceries, funshopping.";"Value";"2019*";"    0.25";"    8.06";"   16.02"
"Total male and female";"65 to 69 years";"Car as driver";"Shopping, groceries, funshopping.";"Value";"2020*";"    0.25";"    6.92";"   14.01"
"Total male and female";"65 to 69 years";"Car as driver";"Shopping, groceries, funshopping.";"Value";"2021*";"    0.25";"    7.18";"   14.62"
"Total male and female";"65 to 69 years";"Car as driver";"Shopping, groceries, funshopping.";"Value";"2022*";"    0.25";"    7.51";"   15.18"
"Total male and female";"65 to 69 years";"Car as driver";"Shopping, groceries, funshopping.";"Value";"2023*";"    0.26";"    7.72";"   15.61"
"Total male and female";"65 to 69 years";"Car as driver";"Attending education/courses";"Value";"2014*";"       .";"       .";"       ."
"Total male and female";"65 to 69 years";"Car as driver";"Attending education/courses";"Value";"2015*";"       .";"       .";"       ."
"Total male and female";"65 to 69 years";"Car as driver";"Attending education/courses";"Value";"2016*";"       .";"       .";"       ."
"Total male and female";"65 to 69 years";"Car as driver";"Attending education/courses";"Value";"2017*";"       .";"       .";"       ."
"Total male and female";"65 to 69 years";"Car as driver";"Attending education/courses";"Value";"2018*";"       .";"       .";"       ."
"Total male and female";"65 to 69 years";"Car as driver";"Attending education/courses";"Value";"2019*";"       .";"       .";"       ."
"Total male and female";"65 to 69 years";"Car as driver";"Attending education/courses";"Value";"2020*";"       .";"       .";"       ."
"Total male and female";"65 to 69 years";"Car as driver";"Attending education/courses";"Value";"2021*";"       .";"       .";"       ."
"Total male and female";"65 to 69 years";"Car as driver";"Attending education/courses";"Value";"2022*";"       .";"       .";"       ."
"Total male and female";"65 to 69 years";"Car as driver";"Attending education/courses";"Value";"2023*";"       .";"       .";"       ."
"Total male and female";"65 to 69 years";"Car as driver";"Leisure";"Value";"2014*";"    0.32";"   23.57";"   32.60"
"Total male and female";"65 to 69 years";"Car as driver";"Leisure";"Value";"2015*";"    0.31";"   23.75";"   32.66"
"Total male and female";"65 to 69 years";"Car as driver";"Leisure";"Value";"2016*";"    0.31";"   23.68";"   32.59"
"Total male and female";"65 to 69 years";"Car as driver";"Leisure";"Value";"2017*";"    0.31";"   23.75";"   32.51"
"Total male and female";"65 to 69 years";"Car as driver";"Leisure";"Value";"2018*";"    0.31";"   24.42";"   32.71"
